,artists,album_name,track_name,popularity,explicit,danceability,energy,speechiness,instrumentalness,tempo,track_genre,duration(mm:ss),year,title,category,nominee
41,SLANDER;Subtronics;JT Roach,Gravity,Gravity,55,False,Poco bailable,0.862,0.0999,0.00109,149.939,dubstep,06:04,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
42,SLANDER;Subtronics;JT Roach,Gravity,Gravity,55,False,Poco bailable,0.862,0.0999,0.00109,149.939,dubstep,06:04,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
43,Boris Brejcha;Laura Korinth,Gravity,Gravity,64,False,Bailable,0.616,0.0691,0.769,125.023,german,03:36,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
44,Boris Brejcha;Laura Korinth,Gravity,Gravity,64,False,Bailable,0.616,0.0691,0.769,125.023,german,03:36,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
45,Ben Lukas Boysen,Gravity (Special Edition),Gravity,11,False,No bailable,0.0701,0.046,0.95,119.596,idm,06:17,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
46,Ben Lukas Boysen,Gravity (Special Edition),Gravity,11,False,No bailable,0.0701,0.046,0.95,119.596,idm,06:17,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
47,Metrik,Ex Machina,Gravity,48,False,Poco bailable,0.917,0.0357,0.115,174.045,j-dance,04:30,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
48,Metrik,Ex Machina,Gravity,48,False,Poco bailable,0.917,0.0357,0.115,174.045,j-dance,04:30,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
49,Anthony Lazaro,Strangers in Disguise,Gravity,51,False,Poco bailable,0.14,0.0594,0.000531,60.307,j-pop,02:29,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
50,Anthony Lazaro,Strangers in Disguise,Gravity,51,False,Poco bailable,0.14,0.0594,0.000531,60.307,j-pop,02:29,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
51,Anthony Lazaro,Strangers in Disguise,Gravity,51,False,Poco bailable,0.14,0.0594,0.000531,60.307,jazz,02:29,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
52,Anthony Lazaro,Strangers in Disguise,Gravity,51,False,Poco bailable,0.14,0.0594,0.000531,60.307,jazz,02:29,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
53,Holding Absence,Gravity,Gravity,55,False,Poco bailable,0.92,0.0847,1.15e-06,172.053,metalcore,04:22,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
54,Holding Absence,Gravity,Gravity,55,False,Poco bailable,0.92,0.0847,1.15e-06,172.053,metalcore,04:22,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
55,Boris Brejcha;Laura Korinth,Gravity,Gravity,64,False,Bailable,0.616,0.0691,0.769,125.023,minimal-techno,03:36,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
56,Boris Brejcha;Laura Korinth,Gravity,Gravity,64,False,Bailable,0.616,0.0691,0.769,125.023,minimal-techno,03:36,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
57,Boris Brejcha;Laura Korinth,Space Diver,Gravity,45,False,Bailable,0.62,0.0749,0.724,125.004,minimal-techno,09:24,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
58,Boris Brejcha;Laura Korinth,Space Diver,Gravity,45,False,Bailable,0.62,0.0749,0.724,125.004,minimal-techno,09:24,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
59,John Mayer,Continuum,Gravity,72,False,Bailable,0.326,0.0342,0.00131,123.799,singer-songwriter,04:05,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
60,John Mayer,Continuum,Gravity,72,False,Bailable,0.326,0.0342,0.00131,123.799,singer-songwriter,04:05,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
61,John Mayer,Continuum,Gravity,72,False,Bailable,0.326,0.0342,0.00131,123.799,songwriter,04:05,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
62,John Mayer,Continuum,Gravity,72,False,Bailable,0.326,0.0342,0.00131,123.799,songwriter,04:05,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
